cooperative_id,name,desa,kecamatan,latitude,longitude,potensi,usaha,jenis_koperasi
65389,KOPERASI DESA MERAH PUTIH NGRECO KECAMATAN WERU KABUPATEN SUKOHARJO,NGRECO,WERU,-7.76418893,110.76638190,Padi,"GERAI SEMBAKO KOPERASI DESA MERAH PUTIH NGRECO KECAMATAN WERU KABUPATEN SUKOHARJO, GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH NGRECO KECAMATAN WERU KABUPATEN SUKOHARJO, GERAI KLINIK KOPERASI DESA MERAH PUTIH NGRECO KECAMATAN WERU KABUPATEN SUKOHARJO, GERAI COLD STORAGE/COLD CHAIN KOPERASI DESA MERAH PUTIH NGRECO KECAMATAN WERU KABUPATEN SUKOHARJO, GERAI APOTEK KOPERASI DESA MERAH PUTIH NGRECO KECAMATAN WERU KABUPATEN SUKOHARJO, GERAI SIMPAN PINJAM KOPERASI DESA MERAH PUTIH NGRECO KECAMATAN WERU KABUPATEN SUKOHARJO","Pengadaan Sembako, Kantor Koperasi, Klinik Desa/Kelurahan, Pergudangan / Cold Storage, Apotek Desa/Kelurahan, Usaha Simpan Pinjam"
50642,KOPERASI DESA MERAH PUTIH CANGKOL KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,CANGKOL,MOJOLABAN,-7.61035600,110.87960700,"Padi, Industri Kecil Dan Kreatif Kerajinan Butik Batik Percetakanbutik, Home Industri Konveksi, Bandeng Presto",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH CANGKOL KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
51937,KOPERASI DESA MERAH PUTIH TRIYAGAN KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,TRIYAGAN,MOJOLABAN,-7.57772900,110.89377300,"Padi, Sapi, Kambing, Perikanan","GERAI SIMPAN PINJAM KOPERASI DESA MERAH PUTIH TRIYAGAN KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO, GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH TRIYAGAN KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO, Agen Laku Pandai","Pengadaan Sembako, Usaha Simpan Pinjam, Kantor Koperasi"
52974,KOPERASI DESA MERAH PUTIH SAPEN KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,SAPEN,MOJOLABAN,-7.59269287,110.90710309,"Sapi, Padi, Kambing, Perikanan",-,Pengadaan Sembako
55321,KOPERASI DESA MERAH PUTIH LABAN KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,LABAN,MOJOLABAN,-7.60078301,110.84132380,Padi,-,Pengadaan Sembako
55502,KOPERASI DESA MERAH PUTIH TEGALMADE KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,TEGALMADE,MOJOLABAN,-7.61172531,110.84160380,"Padi, Bebek, Itik",Kantor Koperasi,"Pengadaan Sembako, Kantor Koperasi"
56632,KOPERASI DESA MERAH PUTIH JOHO KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,JOHO,MOJOLABAN,-7.59140332,110.88762430,Padi,-,Pengadaan Sembako
56654,KOPERASI DESA MERAH PUTIH KRAGILAN KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,KRAGILAN,MOJOLABAN,-7.60681799,110.90132770,"Padi, Sapi, Kambing, Perikanan",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH KRAGILAN KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
56685,KOPERASI DESA MERAH PUTIH DEMAKAN KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,DEMAKAN,MOJOLABAN,-7.59284400,110.86873600,Padi,GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH DEMAKAN KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
56711,KOPERASI DESA MERAH PUTIH DUKUH KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,DUKUH,MOJOLABAN,-7.59082156,110.86525020,"Padi, Sapi, Bebek",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH DUKUH KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
58641,KOPERASI DESA MERAH PUTIH PLUMBON KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,PLUMBON,MOJOLABAN,-7.59005638,110.85315130,"Jagung, Kambing, Padi",-,Pengadaan Sembako
60578,KOPERASI DESA MERAH PUTIH PALUR KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,PALUR,MOJOLABAN,-7.57623033,110.86996960,Padi,-,Pengadaan Sembako
63301,KOPERASI DESA MERAH PUTIH GADINGAN KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO,GADINGAN,MOJOLABAN,-7.58057519,110.85109130,"Sawah, Ubi Kayu, Ampyang, Makanan Rigan Karak Dan Rambak, Makanan Ringan Rengginang, Sapi, Romeo","GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH GADINGAN KECAMATAN MOJOLABAN KABUPATEN SUKOHARJO, kantor koperasi","Pengadaan Sembako, Kantor Koperasi"
52742,KOPERASI DESA MERAH PUTIH MAJASTO KECAMATAN TAWANGSARI KABUPATEN SUKOHARJO,MAJASTO,TAWANGSARI,-7.70874880,110.78257550,"Ayam, Sapi, Padi, Kambing, Itik",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH MAJASTO KECAMATAN TAWANGSARI KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
52773,KOPERASI DESA MERAH PUTIH PUNDUNGREJO KECAMATAN TAWANGSARI KABUPATEN SUKOHARJO,PUNDUNGREJO,TAWANGSARI,-7.76204021,110.79620810,"Ayam, Sapi Ternak, Kambing, Padi","GERAI SEMBAKO DAN  LPJ, GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH PUNDUNGREJO KECAMATAN TAWANGSARI KABUPATEN SUKOHARJO","Pengadaan Sembako, Kantor Koperasi"
52821,KOPERASI DESA MERAH PUTIH LOROG KECAMATAN TAWANGSARI KABUPATEN SUKOHARJO,LOROG,TAWANGSARI,-7.73890940,110.79436650,"Padi, Jagung, Kambing, Ayam, Perikanan",GERAI KANTOR KOPERASI KOPERASI DESA MERAH PUTIH LOROG KECAMATAN TAWANGSARI KABUPATEN SUKOHARJO,"Pengadaan Sembako, Kantor Koperasi"
52914,KOPERASI DESA MERAH PUTIH KEDUNGJAMBAL KECAMATAN TAWANGSARI KABUPATEN SUKOHARJO,KEDUNGJAMBAL,TAWANGSARI,-7.73486400,110.76097500,"Padi, Sapi, Domba, Kambing, Gas 3 Kg, Selep Gabah",Agen Laku Pandai,"Pengadaan Sembako, Logistik Desa/Kelurahan"
