cooperative_id,rata_jarak_antar_kopdes_m,kepadatan_jaringan_jalan,Kepadatan_Komersial_UMKM,Jarak_Min_Komersial_m,Kepadatan_Logistik_Eksternal,Jarak_Min_Logistik_m,Kepadatan_Bank_Besar,Jarak_Min_Bank_m,Kepadatan_Keuangan_Mikro,Jarak_Min_Keuangan_Mikro_m,populasi,persenatase perempuan,rata-rata usia,jumlah_kk,luas_km2,rata-rata anggota keluarga,kepadatan penduduk (jiwa/km2),ruas 100,ruas 200,ruas 300,ruas 400,ruas 500,ruas 600,ruas 700,ruas 800,ruas 900,ruas 1000,Peserta Keluarga Berencana,Bukan Peserta Keluarga Berencana,Tanaman Pangan,Rumah Tangga Usaha Pertanian,Usaha Pertanian Perorangan,Pendapatan_Asli_Desa_Rp
47610,16510.251918054277,0.0231228832028855,893,51.23,0,1500.0,42,52.67,0,1500.0,14980.0,50.91,35.71,5341.0,1.33,2.8,11263.16,555.05,2688.26,5856.93,10974.0,17511.62,25505.96,35739.06,47499.02,59511.94,72642.68,1379.0,763.0,2.0,75.0,75.0,0.0
52844,15524.955245818195,0.0229824671627932,700,46.65,0,1500.0,24,232.69,0,1500.0,10805.0,50.75,35.08,3730.0,1.2,2.9,9004.17,652.35,2614.7,6151.77,10976.24,16808.37,25733.19,35325.3,45830.74,59496.24,72201.55,811.0,803.0,10.0,66.0,66.0,0.0
55315,17060.260350225428,0.0235720311846863,403,79.19,0,1500.0,21,257.35,1,750.4,14762.0,50.33,33.21,4886.0,2.87,3.02,5143.55,696.25,3009.39,7032.35,11981.38,19909.59,28327.39,38256.54,49812.87,61952.58,74053.72,1272.0,987.0,68.0,145.0,146.0,312200000.0
55338,17623.741836105764,0.0205037053185096,516,51.79,0,1500.0,23,84.09,0,1500.0,5896.0,51.41,35.35,2088.0,1.18,2.82,4996.61,631.65,2245.01,4541.35,8657.67,14532.15,20957.93,28631.29,39241.06,51629.68,64414.29,575.0,373.0,28.0,146.0,155.0,167250000.0
55458,14588.264911504191,0.0208316536280471,735,39.84,0,1500.0,23,419.65,0,1500.0,11737.0,50.16,33.65,3916.0,1.91,3.0,6145.03,1220.34,4063.78,9193.13,15544.66,22430.84,29463.86,36047.87,42671.34,52749.75,65444.57,1392.0,965.0,63.0,121.0,121.0,230092500.0
55475,18230.313979792445,0.0190733671125473,218,166.96,0,1500.0,7,272.08,0,1500.0,5117.0,51.24,35.41,1822.0,1.32,2.81,3876.52,758.21,2975.41,6390.59,11207.3,15410.55,20083.82,28772.06,38252.88,49069.5,59920.75,476.0,343.0,13.0,58.0,58.0,267935000.0
58700,16545.827887188527,0.0207549855088608,416,47.8,0,1500.0,13,100.91,1,876.2,7455.0,51.8,35.45,2642.0,1.32,2.82,5647.73,420.12,2012.4,5470.23,10971.34,17581.11,24508.3,33049.29,41900.64,52926.37,65203.71,644.0,568.0,23.0,45.0,45.0,148400000.0
60354,15404.169579975269,0.0,680,46.15,0,1500.0,14,63.65,1,750.68,,,,,,,,637.59,2708.37,7141.93,10701.53,14881.34,20640.76,26044.17,31731.44,40355.68,49163.95,,,,,,
65290,14905.81999768768,0.0223620652791267,650,17.74,0,1500.0,24,40.95,0,1500.0,7907.0,51.41,35.0,2675.0,2.78,2.96,2844.24,794.38,2968.06,6322.69,10715.71,16411.78,24213.64,31965.99,42045.91,53951.42,70252.5,649.0,582.0,40.0,78.0,78.0,518150000.0
65376,15813.337784915297,0.0237467101009273,694,79.85,0,1500.0,16,273.41,0,1500.0,6856.0,49.8,34.7,2286.0,1.91,3.0,3589.53,942.58,3801.24,8140.87,14334.02,22901.05,32210.94,42441.45,51838.16,62137.28,74602.49,619.0,426.0,5.0,36.0,36.0,269900000.0
